"scientificname";"worms_id";"rank";"species";"worms_id_species";"count"
"Clupea harengus";126417;"Species";"Clupea harengus";126417;754254
"Limanda limanda";127139;"Species";"Limanda limanda";127139;705993
"Merlangius merlangus";126438;"Species";"Merlangius merlangus";126438;693767
"Gadus morhua";126436;"Species";"Gadus morhua";126436;650948
"Melanogrammus aeglefinus";126437;"Species";"Melanogrammus aeglefinus";126437;453462
"Fulmarus glacialis";137195;"Species";"Fulmarus glacialis";137195;348757
"Pleuronectes platessa";127143;"Species";"Pleuronectes platessa";127143;312908
"Calanus";104152;"Genus";"";;264923
"Copepoda";1080;"Subclass";"";;239526
"Uria aalge";137133;"Species";"Uria aalge";137133;235739
"Eutrigla gurnardus";150637;"Species";"Eutrigla gurnardus";150637;234182
"Sprattus sprattus";126425;"Species";"Sprattus sprattus";126425;225893
"Hippoglossoides platessoides";127137;"Species";"Hippoglossoides platessoides";127137;225398
"Platichthys flesus";127141;"Species";"Platichthys flesus";127141;196004
"Morus bassanus";148776;"Species";"Morus bassanus";148776;174962
"Rissa tridactyla";137156;"Species";"Rissa tridactyla";137156;159708
"Euphausiacea";1128;"Order";"";;146203
"Trisopterus esmarkii";126444;"Species";"Trisopterus esmarkii";126444;137357
"Microstomus kitt";127140;"Species";"Microstomus kitt";127140;121253
"Calanus finmarchicus";104464;"Species";"Calanus finmarchicus";104464;113115
"Scyliorhinus canicula";105814;"Species";"Scyliorhinus canicula";105814;106049
"Scomber scombrus";127023;"Species";"Scomber scombrus";127023;104514
"Trisopterus minutus";126446;"Species";"Trisopterus minutus";126446;99505
"Larus argentatus";137138;"Species";"Larus argentatus";137138;94496
"Chaetognatha";2081;"Phylum";"";;93961
"Chaetoceros";148985;"Genus";"";;93756
"Merluccius merluccius";126484;"Species";"Merluccius merluccius";126484;89462
"Callionymus lyra";126792;"Species";"Callionymus lyra";126792;89403
"Trachurus trachurus";126822;"Species";"Trachurus trachurus";126822;89402
"Acartia";104108;"Genus";"";;81926
"Ceratium fusus";109951;"Species";"Ceratium fusus";109951;76526
"Temora longicornis";104878;"Species";"Temora longicornis";104878;75612
"Fiona";138007;"Genus";"";;71337
"Calanus helgolandicus";104466;"Species";"Calanus helgolandicus";104466;70137
"Pseudocalanus elongatus";104515;"Species";"Pseudocalanus elongatus";104515;68980
"Peringia ulvae";151628;"Species";"Peringia ulvae";151628;68594
"Solea solea";127160;"Species";"Solea solea";127160;66493
"Larus marinus";137146;"Species";"Larus marinus";137146;62995
"Decapoda";1130;"Order";"";;60980
"Thalassiosira";148912;"Genus";"";;57501
"Tripos furca";840627;"Species";"Tripos furca";840627;56923
"Limecola balthica";880017;"Species";"Limecola balthica";880017;54615
"Pollachius virens";126441;"Species";"Pollachius virens";126441;54447
"Argentina sphyraena";126716;"Species";"Argentina sphyraena";126716;52886
"Fratercula arctica";137131;"Species";"Fratercula arctica";137131;51811
"Metridia lucens lucens";850801;"Subspecies";"Metridia lucens";104633;51047
"Centropages typicus";104499;"Species";"Centropages typicus";104499;50425
"Scoloplos armiger";130537;"Species";"Scoloplos armiger";130537;49740
"Amblyraja radiata";105865;"Species";"Amblyraja radiata";105865;47938
"Ceratium tripos";109982;"Species";"Ceratium tripos";109982;47914
"Hyperiidea";1205;"Suborder";"";;47233
"Nephtys hombergii";130359;"Species";"Nephtys hombergii";130359;46832
"Mytilus edulis";140480;"Species";"Mytilus edulis";140480;46166
"Micromesistius poutassou";126439;"Species";"Micromesistius poutassou";126439;46165
"Calonectris diomedea borealis";226024;"Subspecies";"Calonectris diomedea";137194;45959
"Kurtiella bidentata";345281;"Species";"Kurtiella bidentata";345281;45252
"Alca torda";137128;"Species";"Alca torda";137128;43839
"Lepidorhombus whiffiagonis";127146;"Species";"Lepidorhombus whiffiagonis";127146;42911
"Larus fuscus";137142;"Species";"Larus fuscus";137142;42148
"Corbula gibba";139410;"Species";"Corbula gibba";139410;40659
"Foraminifera";1410;"Phylum";"";;40160
"Pseudo-nitzschia";149151;"Genus";"";;39727
"Abra alba";141433;"Species";"Abra alba";141433;39714
"Protoperidinium";109553;"Genus";"";;38984
"Oithona similis";106656;"Species";"Oithona similis";106656;38800
"Limacina retroversa";140227;"Species";"Limacina retroversa";140227;38377
"Nemertea";152391;"Phylum";"";;38283
"Porifera";558;"Phylum";"";;37552
"Heteromastus filiformis";129884;"Species";"Heteromastus filiformis";129884;36721
"Hediste diversicolor";152302;"Species";"Hediste diversicolor";152302;36254
"Bacteria";6;"Kingdom";"";;35380
"Puffinus puffinus";137203;"Species";"Puffinus puffinus";137203;35296
"Pisces";11676;"Superclass";"";;34653
"Centropages hamatus";104496;"Species";"Centropages hamatus";104496;34063
"Somateria mollissima";137074;"Species";"Somateria mollissima";137074;33885
"Oligochaeta";2036;"Subclass";"";;33450
"Acartia (Acartiura) clausi";149755;"Species";"Acartia (Acartiura) clausi";149755;32758
"Larus canus";137141;"Species";"Larus canus";137141;32629
"Pygospio elegans";131170;"Species";"Pygospio elegans";131170;32269
"Buglossidium luteum";127153;"Species";"Buglossidium luteum";127153;31843
"Mya arenaria";140430;"Species";"Mya arenaria";140430;31823
"Balaenoptera physalus";137091;"Species";"Balaenoptera physalus";137091;31762
"Delphinus delphis";137094;"Species";"Delphinus delphis";137094;31271
"Polychaeta";883;"Class";"";;31044
"Tripos macroceros";841260;"Species";"Tripos macroceros";841260;30691
"Enchelyopus cimbrius";126450;"Species";"Enchelyopus cimbrius";126450;30148
"Nucella lapillus";140403;"Species";"Nucella lapillus";140403;29583
"Chelidonichthys cuculus";127259;"Species";"Chelidonichthys cuculus";127259;29500
"Laridae";136988;"Family";"";;29358
"Nematoda";799;"Phylum";"";;29271
"Discomitochondria";146221;"Phylum";"";;29136
"Arnoglossus laterna";127126;"Species";"Arnoglossus laterna";127126;27350
