"","species","records","worms_id","rank_name"
"1","Meringosphaera mediterranea",176,248129,"Species"
"2",NA,56,117225,"Genus"
"3","Abietinaria abietina",1061,117870,"Species"
"4","Abietinaria filicula",18,117871,"Species"
"5",NA,2,101665,"Genus"
"6","Abludomelita gladiosa",366,102787,"Species"
"7","Abludomelita obtusata",892,102788,"Species"
"8",NA,600,138474,"Genus"
"9","Abra alba",14058,141433,"Species"
"10","Abra longicallus",264,141434,"Species"
"11","Abra nitida",5453,141435,"Species"
"12","Abra prismatica",1414,141436,"Species"
"13","Abra tenuis",4050,141439,"Species"
"14",NA,3,137930,"Genus"
"15","Abramis brama",502,154281,"Species"
"16","Abudefduf luridus",153,126999,"Species"
"17","Abudefduf sexfasciatus",3,159289,"Species"
"18","Abudefduf vaigiensis",2,212879,"Species"
"19","Abyla trigona",1,135402,"Species"
"20",NA,351,135352,"Genus"
"21",NA,61,129331,"Genus"
"22",NA,6,125303,"Genus"
"23","Acanella arbuscula",6,125371,"Species"
"24","Acanthacaris caeca",1,293250,"Species"
"25","Acanthella acuta",17,132455,"Species"
"26","Acanthephyra acutifrons",1,158347,"Species"
"27","Acanthephyra eximia",9,564909,"Species"
"28","Acanthephyra pelagica",240,107581,"Species"
"29","Acanthephyra tenuipes",2,107584,"Species"
"30","Acanthicolepis asperrima",23,130719,"Species"
"31","Acanthocardia aculeata",66,138990,"Species"
"32","Acanthocardia echinata",667,138992,"Species"
"33","Acanthocardia paucicostata",82,138993,"Species"
"34","Acanthochaenus luetkenii",6,127280,"Species"
"35","Acanthochitona crinita",232,138675,"Species"
"36","Acanthochitona fascicularis",119,138677,"Species"
"37",NA,1,91,"Family"
"38",NA,9,105501,"Genus"
"39","Acanthocorbis unguiculata",7,105546,"Species"
"40","Acanthocybium solandri",18,127014,"Species"
"41",NA,3,138284,"Genus"
"42","Acanthodoris pilosa",460,140627,"Species"
"43","Acanthogorgia armata",66,125348,"Species"
"44","Acanthogorgia hirsuta",34,125349,"Species"
"45",NA,13,115083,"Genus"
"46","Acanthoica quattrospina",323,235802,"Species"
"47","Acantholabrus palloni",15,126957,"Species"
"48",NA,189,2303,"Genus"
"49","Acanthomysis longicornis",6,119939,"Species"
"50",NA,5,2319,"Genus"
"51",NA,2,101443,"Genus"
"52","Acanthonyx lunulatus",4,107312,"Species"
"53","Acanthopagrus bifasciatus",1,218589,"Species"
"54",NA,1,183555,"Genus"
"55","Acanthostomella gracilis",22,183575,"Species"
"56","Acanthostomella norvegica",107,183556,"Species"
"57","Acanthotrochus mirabilis",36,124440,"Species"
"58","Acanthurus blochii",2,219639,"Species"
"59","Acanthurus nigrofuscus",2,219640,"Species"
"60","Acanthurus sohal",1,219649,"Species"
"61","Acar plicata",6,215258,"Species"
"62",NA,206,292684,"Subclass"
"63","Acartia (Acanthacartia) bifilosa",3178,345919,"Species"
"64","Acartia (Acartiura) clausi",6718,149755,"Species"
"65","Acartia bifilosa",1371,104249,"Species"
"66","Acasta spongites",5,106205,"Species"
"67","Acaulis primarius",23,117260,"Species"
"68",NA,1,206293,"Genus"
"69",NA,1,159441,"Genus"
